Year,Category,Electricity Generated (TWh)
1900,Coal,
1901,Coal,
1902,Coal,
1903,Coal,
1904,Coal,
1905,Coal,
1906,Coal,
1907,Coal,
1908,Coal,
1909,Coal,
1910,Coal,
1911,Coal,
1912,Coal,
1913,Coal,
1914,Coal,
1915,Coal,
1916,Coal,
1917,Coal,
1918,Coal,
1919,Coal,
1920,Coal,
1921,Coal,
1922,Coal,
1923,Coal,
1924,Coal,
1925,Coal,
1926,Coal,
1927,Coal,
1928,Coal,
1929,Coal,
1930,Coal,
1931,Coal,
1932,Coal,
1933,Coal,
1934,Coal,
1935,Coal,
1936,Coal,
1937,Coal,
1938,Coal,
1939,Coal,
1940,Coal,
1941,Coal,
1942,Coal,
1943,Coal,
1944,Coal,
1945,Coal,
1946,Coal,
1947,Coal,
1948,Coal,
1949,Coal,
1950,Coal,
1951,Coal,
1952,Coal,
1953,Coal,
1954,Coal,
1955,Coal,
1956,Coal,
1957,Coal,
1958,Coal,
1959,Coal,
1960,Coal,
1961,Coal,
1962,Coal,
1963,Coal,
1964,Coal,
1965,Coal,
1966,Coal,
1967,Coal,
1968,Coal,
1969,Coal,
1970,Coal,
1971,Coal,
1972,Coal,
1973,Coal,
1974,Coal,
1975,Coal,
1976,Coal,
1977,Coal,
1978,Coal,
1979,Coal,
1980,Coal,
1981,Coal,
1982,Coal,
1983,Coal,
1984,Coal,
1985,Coal,3747.634
1986,Coal,3838.27
1987,Coal,4057.283
1988,Coal,4199.198
1989,Coal,4377.118
1990,Coal,4460.397
1991,Coal,4557.359
1992,Coal,4650.556
1993,Coal,4727.105
1994,Coal,4892.752
1995,Coal,5039.42
1996,Coal,5279.991
1997,Coal,5395.739
1998,Coal,5507.309
1999,Coal,5626.914
2000,Coal,5575.449
2001,Coal,5680.707
2002,Coal,5919.096
2003,Coal,6293.426
2004,Coal,6530.983
2005,Coal,6829.21
2006,Coal,7241.922
2007,Coal,7734.073
2008,Coal,7742.601
2009,Coal,7647.303
2010,Coal,8240.26
2011,Coal,8660.378
2012,Coal,8632.016
2013,Coal,9029.284
2014,Coal,9028.559
2015,Coal,8805.063
2016,Coal,8777.799
2017,Coal,9009.211
2018,Coal,9345.341
2019,Coal,9081.622
1900,Oil,
1901,Oil,
1902,Oil,
1903,Oil,
1904,Oil,
1905,Oil,
1906,Oil,
1907,Oil,
1908,Oil,
1909,Oil,
1910,Oil,
1911,Oil,
1912,Oil,
1913,Oil,
1914,Oil,
1915,Oil,
1916,Oil,
1917,Oil,
1918,Oil,
1919,Oil,
1920,Oil,
1921,Oil,
1922,Oil,
1923,Oil,
1924,Oil,
1925,Oil,
1926,Oil,
1927,Oil,
1928,Oil,
1929,Oil,
1930,Oil,
1931,Oil,
1932,Oil,
1933,Oil,
1934,Oil,
1935,Oil,
1936,Oil,
1937,Oil,
1938,Oil,
1939,Oil,
1940,Oil,
1941,Oil,
1942,Oil,
1943,Oil,
1944,Oil,
1945,Oil,
1946,Oil,
1947,Oil,
1948,Oil,
1949,Oil,
1950,Oil,
1951,Oil,
1952,Oil,
1953,Oil,
1954,Oil,
1955,Oil,
1956,Oil,
1957,Oil,
1958,Oil,
1959,Oil,
1960,Oil,
1961,Oil,
1962,Oil,
1963,Oil,
1964,Oil,
1965,Oil,
1966,Oil,
1967,Oil,
1968,Oil,
1969,Oil,
1970,Oil,
1971,Oil,
1972,Oil,
1973,Oil,
1974,Oil,
1975,Oil,
1976,Oil,
1977,Oil,
1978,Oil,
1979,Oil,
1980,Oil,
1981,Oil,
1982,Oil,
1983,Oil,
1984,Oil,
1985,Oil,1108.761
1986,Oil,1166.249
1987,Oil,1181.022
1988,Oil,1254.288
1989,Oil,1346.722
1990,Oil,1364.578
1991,Oil,1349.785
1992,Oil,1327.673
1993,Oil,1265.84
1994,Oil,1301.392
1995,Oil,1258.853
1996,Oil,1244.689
1997,Oil,1244.306
1998,Oil,1294.885
1999,Oil,1266.92
2000,Oil,1180.099
2001,Oil,1164.284
2002,Oil,1153.73
2003,Oil,1170.729
2004,Oil,1162.56
2005,Oil,1182.892
2006,Oil,1119.681
2007,Oil,1156.987
2008,Oil,1129.028
2009,Oil,1069.412
2010,Oil,1055.834
2011,Oil,1172.288
2012,Oil,1226.726
2013,Oil,1211.103
2014,Oil,1166.525
2015,Oil,1189.518
2016,Oil,1202.601
2017,Oil,1120.936
2018,Oil,1144.42
2019,Oil,1089.308
1900,Gas,
1901,Gas,
1902,Gas,
1903,Gas,
1904,Gas,
1905,Gas,
1906,Gas,
1907,Gas,
1908,Gas,
1909,Gas,
1910,Gas,
1911,Gas,
1912,Gas,
1913,Gas,
1914,Gas,
1915,Gas,
1916,Gas,
1917,Gas,
1918,Gas,
1919,Gas,
1920,Gas,
1921,Gas,
1922,Gas,
1923,Gas,
1924,Gas,
1925,Gas,
1926,Gas,
1927,Gas,
1928,Gas,
1929,Gas,
1930,Gas,
1931,Gas,
1932,Gas,
1933,Gas,
1934,Gas,
1935,Gas,
1936,Gas,
1937,Gas,
1938,Gas,
1939,Gas,
1940,Gas,
1941,Gas,
1942,Gas,
1943,Gas,
1944,Gas,
1945,Gas,
1946,Gas,
1947,Gas,
1948,Gas,
1949,Gas,
1950,Gas,
1951,Gas,
1952,Gas,
1953,Gas,
1954,Gas,
1955,Gas,
1956,Gas,
1957,Gas,
1958,Gas,
1959,Gas,
1960,Gas,
1961,Gas,
1962,Gas,
1963,Gas,
1964,Gas,
1965,Gas,
1966,Gas,
1967,Gas,
1968,Gas,
1969,Gas,
1970,Gas,
1971,Gas,
1972,Gas,
1973,Gas,
1974,Gas,
1975,Gas,
1976,Gas,
1977,Gas,
1978,Gas,
1979,Gas,
1980,Gas,
1981,Gas,
1982,Gas,
1983,Gas,
1984,Gas,
1985,Gas,1422.361
1986,Gas,1428.758
1987,Gas,1512.935
1988,Gas,1536.549
1989,Gas,1724.386
1990,Gas,1785.086
1991,Gas,1811.07
1992,Gas,1822.876
1993,Gas,1856.381
1994,Gas,1917.401
1995,Gas,2028.077
1996,Gas,2090.276
1997,Gas,2258.306
1998,Gas,2394.399
1999,Gas,2586.885
2000,Gas,2662.157
2001,Gas,2814.8
2002,Gas,3014.523
2003,Gas,3141.98
2004,Gas,3382.723
2005,Gas,3547.627
2006,Gas,3760.551
2007,Gas,4066.667
2008,Gas,4193.065
2009,Gas,4208.548
2010,Gas,4634.235
2011,Gas,4712.769
2012,Gas,4963.669
2013,Gas,4858.204
2014,Gas,4987.205
2015,Gas,5316.752
2016,Gas,5516.398
2017,Gas,5620.225
2018,Gas,5743.356
2019,Gas,5943.112
1900,Renewables,
1901,Renewables,
1902,Renewables,
1903,Renewables,
1904,Renewables,
1905,Renewables,
1906,Renewables,
1907,Renewables,
1908,Renewables,
1909,Renewables,
1910,Renewables,
1911,Renewables,
1912,Renewables,
1913,Renewables,
1914,Renewables,
1915,Renewables,
1916,Renewables,
1917,Renewables,
1918,Renewables,
1919,Renewables,
1920,Renewables,
1921,Renewables,
1922,Renewables,
1923,Renewables,
1924,Renewables,
1925,Renewables,
1926,Renewables,
1927,Renewables,
1928,Renewables,
1929,Renewables,
1930,Renewables,
1931,Renewables,
1932,Renewables,
1933,Renewables,
1934,Renewables,
1935,Renewables,
1936,Renewables,
1937,Renewables,
1938,Renewables,
1939,Renewables,
1940,Renewables,
1941,Renewables,
1942,Renewables,
1943,Renewables,
1944,Renewables,
1945,Renewables,
1946,Renewables,
1947,Renewables,
1948,Renewables,
1949,Renewables,
1950,Renewables,
1951,Renewables,
1952,Renewables,
1953,Renewables,
1954,Renewables,
1955,Renewables,
1956,Renewables,
1957,Renewables,
1958,Renewables,
1959,Renewables,
1960,Renewables,
1961,Renewables,
1962,Renewables,
1963,Renewables,
1964,Renewables,
1965,Renewables,
1966,Renewables,
1967,Renewables,
1968,Renewables,
1969,Renewables,
1970,Renewables,
1971,Renewables,
1972,Renewables,
1973,Renewables,
