Country,Iso Code,Year,Biofuel Electricity,Coal Electricity,Coal Prod Change Pct,Coal Prod Change Twh,Coal Prod Per Capita,Coal Production,Electricity Generation,Fossil Electricity,Gas Electricity,Gas Prod Change Pct,Gas Prod Change Twh,Gas Prod Per Capita,Gas Production,Gdp,Hydro Electricity,Low Carbon Electricity,Nuclear Electricity,Oil Electricity,Oil Prod Change Pct,Oil Prod Change Twh,Oil Prod Per Capita,Oil Production,Other Renewable Electricity,Other Renewable Exc Biofuel Electricity,Population,Renewables Electricity,Solar Electricity,Wind Electricity,% Renewables,Total Energy per capita
World,OWID_WRL,1900,,,,,,,,,,,,,,,,,,,,,,,,,1650000000,,,,0.000,0.000
World,OWID_WRL,1901,,,,,,,,,,,,,,,,,,,,,,,,,1659947520,,,,0.000,0.000
World,OWID_WRL,1902,,,,,,,,,,,,,,,,,,,,,,,,,1669996544,,,,0.000,0.000
World,OWID_WRL,1903,,,,,,,,,,,,,,,,,,,,,,,,,1680114944,,,,0.000,0.000
World,OWID_WRL,1904,,,,,,,,,,,,,,,,,,,,,,,,,1690269440,,,,0.000,0.000
World,OWID_WRL,1905,,,,,,,,,,,,,,,,,,,,,,,,,1700426240,,,,0.000,0.000
World,OWID_WRL,1906,,,,,,,,,,,,,,,,,,,,,,,,,1710550656,,,,0.000,0.000
World,OWID_WRL,1907,,,,,,,,,,,,,,,,,,,,,,,,,1720606976,,,,0.000,0.000
World,OWID_WRL,1908,,,,,,,,,,,,,,,,,,,,,,,,,1730558976,,,,0.000,0.000
World,OWID_WRL,1909,,,,,,,,,,,,,,,,,,,,,,,,,1740369408,,,,0.000,0.000
World,OWID_WRL,1910,,,,,,,,,,,,,,,,,,,,,,,,,1750000000,,,,0.000,0.000
World,OWID_WRL,1911,,,,,,,,,,,,,,,,,,,,,,,,,1759443072,,,,0.000,0.000
World,OWID_WRL,1912,,,,,,,,,,,,,,,,,,,,,,,,,1768814592,,,,0.000,0.000
World,OWID_WRL,1913,,,,,,,,,,,,,,3980000000000,,,,,,,,,,,1778264832,,,,0.000,0.000
World,OWID_WRL,1914,,,,,,,,,,,,,,,,,,,,,,,,,1787947136,,,,0.000,0.000
World,OWID_WRL,1915,,,,,,,,,,,,,,,,,,,,,,,,,1798018432,,,,0.000,0.000
